ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_amfoang,2,1,diesel,0.0,0.4,-0.4,0.0
2,plts_amfoang,2,1,solar,0.30485805627828017,0.0,0.30485805627828017,0.08938044086162156
3,batt_amfoang,2,1,battery,0.15562269655630626,0.0,0.15562269655630626,0.04324005130133129
4,pltd_boking,2,2,diesel,0.0,0.25,-0.25,0.0
5,plts_boking,2,2,solar,0.20323662342496293,0.0,0.20323662342496293,0.059586967051554925
6,batt_boking,2,2,battery,0.10374694271067543,0.0,0.10374694271067543,0.02882673540211005
7,pltd_raijua,2,3,diesel,0.0,0.15,-0.15,0.0
8,plts_raijua,2,3,solar,0.1270236699258108,0.0,0.1270236699258108,0.037242602418984104
9,batt_raijua,2,3,battery,0.06484240981674542,0.0,0.06484240981674542,0.01801697636086033
10,pltd_wini,2,4,diesel,0.0,0.5,-0.5,0.0
11,plts_wini,2,4,solar,0.38107100977743236,0.0,0.38107100977743236,0.11172575310761391
12,batt_wini,2,4,battery,0.19452722945023634,0.0,0.19452722945023634,0.054050019922580995
